CATEGORY,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Microinsurance,Demographics,Demographics,Demographics,Demographics,Development,Development,Development,Development,Economy,Economy,Economy,Finance,Finance,Finance,Finance,Finance,Finance,Finance,Finance,Finance,Finance,Finance,Finance,Finance,Finance,Finance,Finance,Health,Health,Health,Health,Health,Health,Health,Health,Health,Health,Health,Index Coverage Indicators,Index Coverage Indicators,Index Coverage Indicators,Index Coverage Indicators,Index Coverage Indicators,Index Coverage Indicators,Poverty,Poverty,Poverty,Poverty,Poverty,Poverty,Poverty,Poverty,Poverty
YEAR,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2010,2010,2010,2010,2010,2010,2010,2010,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2010,2010,2010,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010
INDICATOR,Total coverage,Credit life coverage,Life coverage (excluding credit life),Life and accident coverage (excluding credit life),Health coverage,Accident coverage,Property coverage,Agriculture coverage,Total coverage ratio,Credit life coverage ratio,Life coverage ratio (excluding credit life),Life and accident coverage ratio (excluding credit life),Health coverage ratio,Accident coverage ratio,Property coverage ratio,Agriculture coverage ratio,Total coverage,Credit life coverage,Life coverage (excluding credit life),Life and accident coverage (excluding credit life),Health coverage,Accident coverage,Property coverage,Agriculture coverage,Total coverage ratio,Credit life coverage ratio,Life coverage ratio (excluding credit life),Life and accident coverage ratio (excluding credit life),Health coverage ratio,Accident coverage ratio,Property coverage ratio,Agriculture coverage ratio,Total coverage,Credit life coverage,Life coverage (excluding credit life),Life and accident coverage (excluding credit life),Health coverage,Accident coverage,Property coverage,Agriculture coverage,Total coverage ratio,Credit life coverage ratio,Life coverage ratio (excluding credit life),Life and accident coverage ratio (excluding credit life),Health coverage ratio,Accident coverage ratio,Property coverage ratio,Agriculture coverage ratio,Population,Urban Population,Population ages 15-64,Population Density,Human Development Index,"Literacy rate, total population ages 15 and above","Literacy rate, female","Literacy rate, male",GDP,GDP per capita,GDP Growth (5 year average),Remittances received,Number of MFIs,Number of active MFI borrowers,MFI Gross Loan Portfolio,Commercial deposit accounts,Coop and credit union deposit accounts,State Financial Institution deposit accounts,MFI deposit accounts,Remittances received,Number of MFIs,Number of active MFI borrowers,MFI Gross Loan Portfolio,Commercial deposit accounts,Coop and credit union deposit accounts,State Financial Institution deposit accounts,MFI deposit accounts,Public Expenditures on health,Per Capita total expenditure on health,Private expenditures on health,Out of pocket expenditures on health,External Resources for health,Under 5 mortality rate,Maternal mortality rates,Avgerage life expectancy,"Avgerage life expectancy, male","Avgerage life expectancy, female", Physician Density,"Impact of natural disasters, number of deaths","Impact of natural disasters, population affected",Permanent cropland,"Impact of natural disasters, number of deaths","Impact of natural disasters, population affected",Permanent cropland,Income share held by poorest 20% of the population,Poverty headcount ratio at 2 USD a day,Poverty headcount ratio at rural poverty line,Poverty headcount ratio at urban poverty line,Poverty headcount ratio at national poverty line,GINI Index,"Avgerage life expectancy, male","Avgerage life expectancy, female", Physician Density
AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZA,2036,0,0,0,0,0,2036,2036,0.005740352,0,0,0,0,0,0.005740352,0.005740352,1500,1500,,0,0,,0,0,0.004356915,0.004356915,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,35468208,72.865,68.55845262,14.89172118,0.696,72.6,60.1,79.6,1.62E+11,4494.886728,2.50127505,5399,,,,,,,,,,,,736.5648,,,,3.6,272,13.9,94.7,0,32,120,72,71,74,1.207,4,564,,,,0.392570138,,,,,,,71,74,1.207
AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,19081912,59.1426,51.26377072,15.30593727,0.482,70,54.2,82.9,82470894868,4422.542824,11.95266781,969,1,12686,13223198,,,,,,,,,,,,,2,148,15,100,3,161,610,52,51,53,0.08,2,4989,,,,0.232614101,,,,,,,51,53,0.08
AIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,1356247,0,1337009,1337009,19238,430000,0,0,3.356018958,0,3.308414729,3.308414729,0.047604229,1.064030484,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40412376,92.4,64.69096441,15.02,0.794,97.725,97.2,97.2,3.69E+11,9124.335133,6.777799476,1011,12,39176,41685829,,,,,,,,,906.29,0.14,,,5.1,610,42.7,59.2,10.4,14,70,75.46409756,71.5,79.1,3.21,0,1790,,,,0.365404923,0.0438,1.87,0,9.9,,44.49,71.5,79.1,3.21
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,540,0,0,0,0,0,540,0,0.156657963,0,0,0,0,0,0.156657963,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,344700,52.7,61.63875128,13.98,0.698,,77.1,76.7,1401000000,4064.403829,2.505850049,107,1,4559,14398437,,,,,,,,,,,,,2.6,202,29.8,100,1.6,18,94,75.6185122,73.9,76.8,0.828,13,28239,,,,1.402893468,,0,44.2,23.7,33.5,,73.9,76.8,0.828
BEN,200506,43356,12453,26325,157361,22946,2260,842,2.265632168,0.489904284,0.140713582,0.297461257,1.778112094,0.25928,0.025537035,0.00951424,170081,57250,,1700,118081,,95,0,2.035440487,0.685138069,,0.020344711,1.413131673,,0.00113691,0,81434,28110,2500,5500,34722,3000,0,,1.066761753,0.368232837,0.032749274,0.072048403,0.454848117,0.039299129,0,,8849892,44.9086,53.4430837,80.00263967,0.425,41.7,23.3,47.9,6558349890,749.5069822,1.48,263,11,231167,126211478,,,,,,,,,99.84682,,,174.071,2.5,32,48.3,92.6,17.7,118,410,57,54,60,0.059,1,12662,,,,2.711986982,6.99,75.32,46,29,39,38.62,54,60,0.059
BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,718117,488177,716334,717413,6079,467675,708,8,7.231902519,4.916258042,7.213946556,7.224812784,0.061219461,4.709789645,0.007130018,0.000793012921749053E,,,,,,,,,,,,,,,,,250000,0,0,0,250000,0,0,,2.733239638,0,0,0,2.733239638,0,0,,9929849,66.5,59.5874271,9.21,0.66,90.69,80.7,93.1,19649724656,1978.854327,4.598722763,1012,24,1026029,3047668806,,,,,,,,,337.5,185.98,,171.74,3.4,78,34.3,80.6,8.8,51,180,65.96385366,63.4,67.7,,5,18428,,,,0.202160066,0.0213,24.89,77.3,50.9,60.1,56.29,63.4,67.7,
BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,23657,0,23657,23657,0,23657,0,0,1.178756767,0,1.178756767,1.178756767,0,1.178756767,0,0,16000,1000,,7000,10000,,11000,100,0.818488845,0.051155553,,0.358088869,0.511555528,,0.562711081,0.005115555,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,2006945,61.6148,63.69992766,3.541271858,0.631,84.1,81.8,80.4,14904834649,7402.930987,3.01234539,,,,,,,,,,,,,479.3566,8.076175,421.0981,3.973953,4.3,530,21.8,33.1,4.2,57,190,61,59,62,0.336,0,499,,,,0.003529017,,,44.8,19.4,,,59,62,0.336
